,p1,p2,p3,p4,p5,p6,p7,trend,aic,mse
PMV.AX,1,0,1,0,0,0,12,t,31.29192145315471,0.2441824260478345
KMD.AX,1,1,1,0,0,0,12,ct,-2.5756081367985537,0.008582584395892564
NBL.AX,0,0,1,0,0,0,12,ct,1.9435581056536844,0.029767707388184617
SBB.AX,0,1,1,0,0,0,12,t,-72.68614540323378,7.50670041899117e-05
BRK.AX,0,0,0,0,0,0,12,c,-99.15243712981793,0.0007651876070624773
MPX.AX,0,0,0,0,0,0,12,c,-45.301305982903315,0.0031376842910658675
ICG.AX,1,1,0,0,0,0,12,c,-110.3186360251795,0.00013015617366130772
CLA.AX,0,1,0,0,0,0,12,n,-37.59150489167128,0.0018398163365894128
ORG.AX,0,0,1,0,0,0,12,c,24.129709827818466,0.10344957894578548
ANZ.AX,1,0,1,0,0,0,12,t,36.8946466562783,0.4591621522618777
XRF.AX,0,1,1,0,0,0,12,ct,-46.83799749601768,0.0016626748994444795
WOW.AX,1,1,1,0,0,0,12,ct,20.307144360109863,0.15648499760959667
WAT.AX,1,1,1,0,0,0,12,ct,-2.8783969777516014,0.08143620012043712
QBE.AX,1,0,0,0,0,0,12,n,22.981213260692392,0.06738102563847495
BXB.AX,1,0,0,0,0,0,12,ct,18.775573245883688,0.08659943274149312
BHP.AX,1,1,0,0,0,0,12,n,32.83014289061749,1.044712897535502
STO.AX,0,1,0,0,0,0,12,n,15.850385142799704,0.07361914286175335
MQG.AX,1,0,0,0,0,0,12,n,65.47508366941611,2.3570786042152108
MCX.AX,1,0,0,0,0,0,12,t,-63.55027567538802,0.0009846248865856993
KTE.AX,0,0,1,0,0,0,12,ct,-94.5669872142686,0.00031234755362694695
IPT.AX,0,1,0,0,0,0,12,c,-101.70968472353756,0.00015056811595040454
WPL.AX,0,1,0,0,0,0,12,n,38.389007469142854,0.2093437170658929
WHC.AX,1,1,1,0,0,0,12,n,10.361056210652617,0.05691956286283367
WES.AX,0,1,0,0,0,0,12,ct,36.3771574114554,0.2129429111947584
VMS.AX,1,1,0,0,0,0,12,ct,-96.39950639461456,0.0016391012862282887
VKA.AX,0,1,0,0,0,0,12,n,-80.55373934132064,0.0022031955722220608
UCW.AX,0,1,0,0,0,0,12,n,-47.38557959188573,0.0011118053137184384
TZL.AX,0,0,0,0,0,0,12,c,-39.46534346489171,0.018260796498098086
TLS.AX,1,1,0,0,0,0,12,ct,-4.345394235514679,0.003361360085955819
SXL.AX,1,1,1,0,0,0,12,ct,-16.124837076364123,0.013601241581262071
REA.AX,1,0,1,0,0,0,12,t,53.73269679986779,1.1326494565316831
NMS.AX,1,1,1,0,0,0,12,n,-15.69513465695096,0.026046700760601383
NME.AX,0,0,0,0,0,0,12,ct,-75.95757690137552,0.0021452738921604246
NAB.AX,1,0,0,0,0,0,12,t,29.569701297012767,0.26852386216873936
LER.AX,0,1,1,0,0,0,12,t,-53.183621521031405,0.00337931772269326
LCT.AX,1,0,1,0,0,0,12,ct,-60.73213113452714,0.002419835913220287
LAU.AX,0,0,1,0,0,0,12,ct,-50.499078278354425,0.00442572366038768
KOV.AX,1,0,1,0,0,0,12,c,-6.465465893493555,0.06219582304384605
KME.AX,0,0,1,0,0,0,12,ct,-25.81489656870335,0.007208018912853824
KBC.AX,1,1,0,0,0,0,12,n,-64.32707337483174,0.0004182480982191808
IRI.AX,1,0,1,0,0,0,12,t,5.167155329488302,0.049952419916748585
HIL.AX,1,1,1,0,0,0,12,c,-45.90445476231272,0.003044677438354745
CPU.AX,0,0,1,0,0,0,12,c,23.45512718831288,0.15190945819813834
CMW.AX,1,1,0,0,0,0,12,ct,-30.942384978994873,0.001150105192269197
CBA.AX,0,1,0,0,0,0,12,t,42.52057521776543,0.7117782291077753
ANN.AX,0,1,0,0,0,0,12,ct,30.018120144090005,0.1433421681403321
ZGL.AX,1,0,1,0,0,0,12,t,-48.89862925378066,0.007070553629004537
WSA.AX,0,1,0,0,0,0,12,n,3.3259973522485504,0.09815466133936004
WOR.AX,0,1,0,0,0,0,12,c,38.03605166416502,0.2390377612632828
WEC.AX,0,1,1,0,0,0,12,c,-44.9346839657682,0.00521931908126052
WBC.AX,0,1,0,0,0,0,12,ct,28.549704987811733,0.37279349777792414
WBA.AX,1,0,0,0,0,0,12,ct,-29.79777856372447,0.011928308919955131
VII.AX,1,0,0,0,0,0,12,ct,-38.683357744822345,0.001562371566964445
TPM.AX,1,0,0,0,0,0,12,ct,27.111032885796515,0.033620858244387875
TGR.AX,0,1,1,0,0,0,12,n,-8.10168586617215,0.03889755681950938
TCN.AX,0,1,0,0,0,0,12,ct,-84.09771994372312,0.0042668900711039905
TCL.AX,0,1,1,0,0,0,12,t,3.2584810000764386,0.1344045140152842
SUD.AX,1,1,1,0,0,0,12,t,-71.0633784999672,0.00011168821964548408
RRS.AX,0,1,0,0,0,0,12,n,-105.23069115149715,1.5332934166833742e-19
RHC.AX,0,1,0,0,0,0,12,n,41.736006422814995,0.17619531001028627
PLS.AX,1,0,0,0,0,0,12,n,-23.52129807058757,0.0091190342688336
OZL.AX,1,0,0,0,0,0,12,c,17.423482407194093,0.491314087329611
OKU.AX,1,1,1,0,0,0,12,t,-39.051238781818576,0.010879318314370636
NSX.AX,0,0,1,0,0,0,12,c,-32.68382695711361,0.006425064907325721
NML.AX,0,0,1,0,0,0,12,c,-51.2967871031974,0.0041728683968476855
MYR.AX,1,0,1,0,0,0,12,t,-17.47601350498855,0.035155740152941206
MOC.AX,1,0,1,0,0,0,12,c,-4.323784157052163,0.017034127097286928
MMR.AX,0,0,0,0,0,0,12,ct,-105.2918109035544,0.0003247086350833818
KKT.AX,1,0,0,0,0,0,12,n,-42.205043729019046,0.0022694346665167973
