,p1,p2,p3,p4,p5,p6,p7,trend,aic,mse
BRK.AX,0,0,0,0,1,0,12,t,-66.8260374624048,0.000402282476751455
MPX.AX,1,0,0,0,0,0,12,c,-106.5212984386663,0.0018252392201843766
ICG.AX,1,1,1,1,0,0,12,c,-79.77530694061795,0.00010662180684302988
CLA.AX,1,0,0,0,0,0,12,n,-83.32957850891141,0.0008750231125626294
ORG.AX,1,1,0,0,1,0,12,t,24.538699393689733,0.015019400399353303
ANZ.AX,1,0,0,1,0,0,12,t,30.736453964431767,0.3848718397205367
XRF.AX,1,1,0,1,0,0,12,ct,-55.64442203598694,0.003025305851430607
WOW.AX,0,1,0,0,1,0,12,t,19.101819499656585,0.3484587834484301
WAT.AX,1,0,0,1,0,0,12,t,-4.297958076493746,0.0851360193082525
QBE.AX,0,1,0,1,0,0,12,t,20.013010606486194,0.052981672375511636
BXB.AX,0,1,1,1,0,0,12,n,16.7318788908486,0.05757055437253005
BHP.AX,0,1,0,1,0,0,12,t,27.95285929325582,0.7867903601741182
MQG.AX,0,0,1,1,1,1,12,n,447.72032675757936,2.301974847655424
MCX.AX,1,1,1,0,1,0,12,t,-582.482697488919,0.0003673140676371767
KTE.AX,0,0,1,1,1,1,12,c,-730.0843128445871,0.0002567268625305466
WPL.AX,0,0,0,1,1,1,12,c,319.12075632812923,0.2544959680721994
WHC.AX,0,1,0,0,1,1,12,c,-35.87945083966869,0.004626090903671588
WES.AX,1,0,0,0,0,0,12,c,142.34133491107158,0.01749854341047397
VMS.AX,0,0,1,1,0,0,12,c,-619.7430173017012,0.0009163492241378123
UCW.AX,1,1,1,1,1,0,12,ct,-394.716033418224,0.004011937905405321
TLS.AX,0,1,1,1,1,0,12,t,-124.32792203735428,0.0029923888642774056
SXL.AX,1,0,1,1,0,1,12,ct,-321.20086193215144,0.006196684434658279
REA.AX,1,1,1,1,0,0,12,c,353.7192808782773,0.012564414282003378
NMS.AX,1,0,1,1,1,0,12,ct,-200.97603326261623,0.007281421267857587
NME.AX,0,0,0,0,0,0,12,c,-368.62145154858973,4.0416971937625584e-05
NAB.AX,0,1,0,1,0,0,12,ct,53.80400980270298,0.0045045729371899785
LER.AX,0,1,1,1,0,1,12,ct,1645.7818269625586,0.004599412525485635
LCT.AX,0,0,0,0,0,0,12,ct,-347.33750407284265,0.0004090172546830293
LAU.AX,1,0,1,1,0,1,12,c,-221.03919005731004,9.623143431336523e-06
KME.AX,0,0,0,1,1,1,12,ct,-65.2415125351317,0.0020904847823014494
KBC.AX,0,1,1,1,0,0,12,c,-320.7286192900805,5.0735395816702e-05
IRI.AX,1,1,0,1,0,0,12,ct,-32.55579391081856,0.00038082743297040983
HIL.AX,1,1,0,1,1,0,12,ct,-166.50825765025496,0.0017355300189476064
CPU.AX,1,0,0,1,0,0,12,ct,47.3496158784009,0.011118395049344088
CMW.AX,1,0,0,0,1,1,12,ct,1105.7017139589475,0.000853580968314116
CBA.AX,1,0,0,0,1,0,12,ct,158.01087833986074,9.543864915428912e-05
ANN.AX,0,0,1,1,1,1,12,t,74.16352337594759,0.08635163527583957
ZGL.AX,0,1,1,1,1,0,12,c,-144.61922369755706,0.0002716219962569516
WSA.AX,0,1,1,0,1,0,12,n,-37.78908886438641,0.00034867369704505435
WOR.AX,0,0,1,0,1,1,12,t,750.0238666687671,0.002408242215283352
WEC.AX,0,0,1,0,1,1,12,c,934.9999211606818,2.636996504902512e-05
WBC.AX,1,0,0,0,1,1,12,n,1032.8825426504422,0.002214929227438489
WBA.AX,0,0,0,1,0,1,12,ct,-117.63595773071195,0.01650710434876146
VII.AX,0,1,0,0,0,0,12,n,-274.73992199622825,0.0
TPM.AX,0,0,0,0,0,0,12,n,2.0,6.25
TGR.AX,0,0,0,0,1,0,12,c,14.826853203161022,0.016202833172989983
TCN.AX,1,1,1,0,0,0,12,ct,-442.560057630976,4.046085960406065e-07
TCL.AX,0,1,1,0,1,0,12,t,0.2088914639064221,0.00021563468315477508
SUD.AX,0,0,1,0,1,0,12,t,-372.6715664954256,3.5645191874249947e-06
RHC.AX,0,0,0,0,0,1,12,ct,154.29299692740534,0.02992390634551612
PLS.AX,0,0,0,0,0,1,12,c,-82.6333379146197,0.001513944069668538
OZL.AX,1,1,1,0,1,0,12,ct,27.815385223759108,0.0806567445896249
NML.AX,1,0,1,0,0,1,12,n,-260.49987017331057,3.747437020938661e-05
MYR.AX,1,0,0,1,1,0,12,t,-74.04400150461925,0.0015112493397085867
MOC.AX,1,0,1,1,0,1,12,ct,-92.85837088481651,7.670837627116178e-05
MMR.AX,1,0,0,0,1,1,12,t,1115.6713864875326,1.7871322924491867e-05
KAS.AX,1,0,0,1,1,0,12,t,-142.35957506192742,4.489085135005872e-05
IMU.AX,1,0,1,0,0,0,12,ct,-505.9647105621002,1.5834378211437156e-05
ILU.AX,1,1,0,1,1,0,12,t,21.08536741670148,0.00022292009336410962
HVN.AX,1,0,1,1,1,1,12,t,-25.288317118323555,0.003774094851596743
GNC.AX,0,0,0,0,0,0,12,c,119.03712496017704,0.3098261269367555
GID.AX,0,0,1,0,1,0,12,t,-290.56742130754327,2.4149546024275492e-05
COH.AX,1,0,1,1,1,1,12,t,162.30163627716684,0.055315376000891085
SPX.AX,1,0,0,1,0,0,12,n,-328.4665029714878,1.2009377066222321e-05
